ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Timestamp
EP202015,           PATRICIA,20151023,1200,  , HU,17.3N,105.6W,185,872,150,100,60,130,50,50,40,40,25,25,20,25,2015-10-23 12:00:00
EP141997,              LINDA,19970912,600,  , HU,17.1N,109.6W,160,902,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1997-09-12 06:00:00
CP051997,               PAKA,19971218,0,  , HU,14.3N,139.7E,160,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1997-12-18 00:00:00
EP202009,               RICK,20091018,600,  , HU,15.2N,106.6W,155,906,150,120,120,150,90,75,60,60,50,40,30,40,2009-10-18 06:00:00
CP021959,              PATSY,19590906,1800,  , HU,22.2N,178.5W,150,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1959-09-06 18:00:00
EP101994,               JOHN,19940823,600,  , HU,14.2N,155.1W,150,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994-08-23 06:00:00
EP142002,              KENNA,20021025,0,  , HU,18.3N,108.3W,145,913,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2002-10-25 00:00:00
CP021997,              OLIWA,19970910,1200,  , HU,19.1N,149.4E,140,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1997-09-10 12:00:00
CP012006,               IOKE,20060830,600,  , HU,17.1N,170.4E,140,910,140,120,120,140,100,85,85,100,65,65,65,65,2006-08-30 06:00:00
EP011973,                AVA,19730607,0,  , HU,12.1N,108.8W,140,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1973-06-07 00:00:00
EP051994,             EMILIA,19940719,1800,  , HU,11.7N,149.6W,140,926,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994-07-19 18:00:00
EP091997,          GUILLERMO,19970804,1800,  , HU,14.2N,116.6W,140,921,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1997-08-04 18:00:00
EP102002,             HERNAN,20020901,1200,  , HU,17.2N,111.1W,140,921,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2002-09-01 12:00:00
EP042010,              CELIA,20100625,600,  , HU,13.2N,116.5W,140,921,120,120,75,90,75,60,45,60,45,35,30,35,2010-06-25 06:00:00
EP071994,              GILMA,19940724,1800,  , HU,12.1N,143.3W,140,920,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994-07-24 18:00:00
EP132014,              MARIE,20140824,1800,  , HU,15.9N,111.9W,140,918,240,240,150,150,90,90,70,90,50,40,30,40,2014-08-24 18:00:00
EP062002,              ELIDA,20020725,600,  , HU,14.3N,109.5W,140,921,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2002-07-25 06:00:00
EP131987,                MAX,19870914,0,  , HU,17.5N,118.6W,135,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1987-09-14 00:00:00
EP012014,             AMANDA,20140525,1200,  , HU,11.7N,111.1W,135,932,70,60,50,60,40,40,30,40,20,20,15,20,2014-05-25 12:00:00
EP091990,             HERNAN,19900723,1200,  , HU,17.3N,117.2W,135,929,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1990-07-23 12:00:00
EP032000,           CARLOTTA,20000621,600,  , HU,15.1N,103.8W,135,932,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2000-06-21 06:00:00
EP042011,               DORA,20110721,1200,  , HU,16.9N,106.5W,135,929,120,120,90,100,75,60,45,60,40,35,25,35,2011-07-21 12:00:00
EP132009,             JIMENA,20090831,1800,  , HU,18.2N,108.9W,135,935,120,80,90,110,70,40,60,75,40,20,15,20,2009-08-31 18:00:00
EP132015,             JIMENA,20150829,600,  , HU,12.2N,124.4W,135,932,100,90,80,100,50,50,30,50,25,20,20,25,2015-08-29 06:00:00
EP231990,              TRUDY,19901020,1200,  , HU,15.5N,111.0W,135,924,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1990-10-20 12:00:00
EP091998,             HOWARD,19980823,0,  , HU,14.4N,108.0W,130,932,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1998-08-23 00:00:00
EP221992,               TINA,19920930,1200,  , HU,17.3N,117.7W,130,932,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1992-09-30 12:00:00
EP192015,               OLAF,20151020,1200,  , HU,10.4N,140.9W,130,938,120,120,80,90,60,60,50,50,35,30,30,30,2015-10-20 12:00:00
CP011959,                DOT,19590803,0,  , HU,15.3N,145.7W,130,952,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1959-08-03 00:00:00
EP111995,           JULIETTE,19950920,1800,  , HU,17.8N,114.3W,130,933,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1995-09-20 18:00:00
CP011967,              SARAH,19670916,1200,  , HU,19.3N,166.1E,130,933,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1967-09-16 12:00:00
EP132004,             JAVIER,20040914,0,  , HU,15.9N,106.8W,130,930,100,100,100,100,75,75,75,75,30,30,30,30,2004-09-14 00:00:00
EP121993,            KENNETH,19930911,600,  , HU,17.2N,119.6W,130,932,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1993-09-11 06:00:00
EP171994,             OLIVIA,19940925,1200,  , HU,17.8N,119.8W,130,923,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994-09-25 12:00:00
EP032014,           CRISTINA,20140612,1200,  , HU,16.4N,106.8W,130,935,70,50,40,60,30,30,30,30,15,15,10,15,2014-06-12 12:00:00
EP052006,             DANIEL,20060722,600,  , HU,13.7N,129.1W,130,933,120,100,100,120,80,70,70,80,50,40,40,50,2006-07-22 06:00:00
EP222015,             SANDRA,20151126,600,  , HU,14.1N,110.2W,130,934,100,100,60,90,50,40,30,40,30,25,15,25,2015-11-26 06:00:00
EP131993,              LIDIA,19930911,600,  , HU,16.7N,105.4W,130,930,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1993-09-11 06:00:00
EP132011,            KENNETH,20111122,1800,  , HU,12.6N,114.3W,125,942,110,90,70,110,60,50,50,50,35,25,20,35,2011-11-22 18:00:00
EP171986,             ROSLYN,19861019,1800,  , HU,14.4N,111.3W,125,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1986-10-19 18:00:00
EP012001,             ADOLPH,20010529,1200,  , HU,15.5N,104.2W,125,940,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2001-05-29 12:00:00
EP131976,           MADELINE,19761008,600,  , HU,17.3N,102.2W,125,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1976-10-08 06:00:00
EP082009,            FELICIA,20090806,600,  , HU,15.1N,130.8W,125,935,100,135,75,90,60,75,40,45,35,35,25,25,2009-08-06 06:00:00
EP171992,             ORLENE,19920906,1800,  , HU,15.4N,125.7W,125,936,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1992-09-06 18:00:00
EP112001,           JULIETTE,20010925,1200,  , HU,16.2N,106.2W,125,928,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2001-09-25 12:00:00
