ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Timestamp
EP202015,           PATRICIA,20151023,1200,  , HU,17.3N,105.6W,185,872,150,100,60,130,50,50,40,40,25,25,20,25,2015-10-23 12:00:00
CP012006,               IOKE,20060828,0,  , HU,16.6N,177.6E,135,900,150,140,140,130,85,80,80,70,60,55,55,45,2006-08-28 00:00:00
EP141997,              LINDA,19970912,600,  , HU,17.1N,109.6W,160,902,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1997-09-12 06:00:00
EP202009,               RICK,20091018,1200,  , HU,15.7N,107.8W,155,906,150,120,120,150,90,75,60,60,50,40,30,40,2009-10-18 12:00:00
EP142002,              KENNA,20021025,0,  , HU,18.3N,108.3W,145,913,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2002-10-25 00:00:00
EP132014,              MARIE,20140824,1800,  , HU,15.9N,111.9W,140,918,240,240,150,150,90,90,70,90,50,40,30,40,2014-08-24 18:00:00
EP152014,              ODILE,20140914,600,  , HU,18.5N,107.0W,120,918,160,170,130,110,70,70,50,60,40,40,20,30,2014-09-14 06:00:00
EP091997,          GUILLERMO,19970805,0,  , HU,14.3N,118.0W,140,919,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1997-08-05 00:00:00
EP102002,             HERNAN,20020901,1200,  , HU,17.2N,111.1W,140,921,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2002-09-01 12:00:00
EP062002,              ELIDA,20020725,600,  , HU,14.3N,109.5W,140,921,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2002-07-25 06:00:00
EP042010,              CELIA,20100625,0,  , HU,12.9N,115.4W,140,921,120,120,75,90,75,60,45,60,45,35,30,35,2010-06-25 00:00:00
EP171994,             OLIVIA,19940925,1200,  , HU,17.8N,119.8W,130,923,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994-09-25 12:00:00
EP112001,           JULIETTE,20010925,1800,  , HU,16.4N,107.2W,125,923,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2001-09-25 18:00:00
EP231990,              TRUDY,19901020,1200,  , HU,15.5N,111.0W,135,924,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1990-10-20 12:00:00
